Product_Name,Quantity,Price
Almond Croissant,1,0.69
Butter Croissant,1,0.59
Utterly Butterly,1,1.25
Ancient Grain Roll,1,0.35
Vegetable pizza,1,0.99
Hazel Croissant,1,0.69
Walnut,200g,1.75
Sunflower Oil,1L,1.49
Banana,8,0.88
Oaties Biscuit,1,1.09
Pinnapple,1,0.98
Kiwi,6,1.47
Tomatoes,6,0.99
Scot Oats,1,0.99
Red Gala Apple,6,1.59
Chillies,1,0.79
Milk,2.27L,1.75
British Salted Butter,1,1.99
Brown Onion,1Kg,0.99
Wholemeal Seeds Bread,400g,0.65
Blueberries,1,1.09
Banana,1Kg,0.90
Aubergine(vang),1.0.95
Peanut Butter,1,1.49
Levender liquid tab,1,5.99
